Date,RELIANCE.NS,INFY.NS,TCS.NS,HDFCBANK.NS,SUNPHARMA.NS,AXISBANK.NS,HINDUNILVR.NS
23-03-2020,395.4825134,452.3612976,1451.256226,365.396637,305.6005249,307.3666077,1689.523438
24-03-2020,422.0328979,506.7958984,1480.329956,363.5733643,315.630249,301.8895264,1832.433105
25-03-2020,484.1478882,520.8878784,1521.311646,405.7463684,327.4022217,325.4411316,1886.922119
26-03-2020,476.9678345,552.5087891,1556.643433,426.7499084,318.5967712,339.9804382,1983.384644
27-03-2020,476.6994324,560.84375,1585.803955,428.3364868,318.5497131,358.2541199,1934.272461
30-03-2020,460.9750061,538.5028687,1545.822388,393.859314,313.3229675,366.6192017,1973.851929
31-03-2020,498.2395325,551.2200317,1587.19458,408.1853638,331.7814026,377.4241028,2077.001465
01-04-2020,483.3426514,517.9664307,1485.197388,392.9121094,323.5410156,357.1587219,1969.604736
03-04-2020,482.0005798,503.2728577,1437.783936,385.4294128,354.0539856,324.0967712,1946.516846
07-04-2020,539.5525513,549.0718384,1542.953735,424.3819885,393.0427856,387.2331543,2209.293457
08-04-2020,533.3119507,542.7132568,1482.328979,420.9722595,411.2658081,389.7227783,2223.706543
09-04-2020,545.7484741,546.7088013,1535.087769,438.0923767,427.9820251,418.4030151,2143.644531
13-04-2020,531.9699097,547.6970825,1529.090698,424.0267944,435.421936,417.2079773,2120.330811
15-04-2020,514.3889771,549.1148682,1508.143311,408.8483582,423.0378113,415.5648193,2247.833496
16-04-2020,522.5308228,536.0539551,1491.542603,416.6388855,436.6933289,420.7929993,2201.341797
17-04-2020,547.5601807,540.2643433,1569.898193,431.1069641,430.4776917,476.8091431,2155.166016
20-04-2020,556.4177856,561.359314,1580.71936,447.4694214,445.8283081,454.0541382,2111.384766
21-04-2020,553.5323486,544.0880127,1510.316284,436.4822388,445.5928955,418.9009399,2094.080078
22-04-2020,610.0106812,551.520752,1537.999634,439.7736511,446.7230225,429.3572693,2156.204834
23-04-2020,613.2763672,583.7002563,1632.521973,452.252655,449.6424561,428.2618408,2094.170898
24-04-2020,633.8994751,565.3978271,1580.632446,444.2490845,457.2707214,402.2703857,2063.085693
27-04-2020,639.6031494,571.0690308,1596.320801,440.2945862,461.3673706,425.5232544,2096.83667
28-04-2020,638.8873291,567.7179565,1615.834106,441.0997314,446.346283,453.5562439,2069.275146
29-04-2020,638.3504639,581.3373413,1656.337646,462.7426147,449.8308411,437.2742004,2016.68396
30-04-2020,655.8196411,614.8057861,1750.90332,474.4402771,437.3995667,443.0501099,1983.47583
04-05-2020,642.0411377,578.8884277,1677.892456,437.1215515,438.3414001,401.1251526,1881.952148
05-05-2020,653.4262695,578.8884277,1679.891846,431.6516418,429.7242432,387.3825378,1844.767456
06-05-2020,653.4710693,572.1861572,1654.555664,448.2035217,427.9348755,387.2331543,1816.484009
07-05-2020,674.1387329,571.369751,1644.169189,438.0687256,425.8631287,395.6978149,1800.08313
08-05-2020,698.6761475,579.3180542,1645.690186,439.9867859,441.6845703,380.4614258,1888.097046
11-05-2020,705.3864136,586.7935791,1682.108398,433.711731,436.8345642,377.9718018,1850.641357
12-05-2020,661.7470093,590.8751831,1694.450317,426.9631042,436.8815918,385.2414856,1817.703979
13-05-2020,675.7871704,596.4605103,1694.580933,439.323761,426.0043945,412.2785645,1803.426636
14-05-2020,648.4657593,565.5267334,1653.468994,423.2453918,429.3946838,400.2786865,1812.733887
15-05-2020,659.055603,560.5001221,1645.255493,420.6170349,422.4727478,386.9343872,1836.273682
18-05-2020,650.6334229,570.4675293,1691.060913,396.2272644,415.0327759,357.3081055,1812.010864
19-05-2020,636.2501831,574.5061646,1693.711548,393.3857422,415.9746094,353.026001,1785.173218
20-05-2020,647.449707,575.3225098,1698.014282,405.9120789,429.2062683,360.9927368,1798.998657
21-05-2020,650.8592529,577.5996094,1730.694946,407.0723572,439.2831116,355.7147522,1780.971191
22-05-2020,646.4787598,594.9136353,1756.031616,397.269104,442.0613098,335.5489502,1796.33313
26-05-2020,643.0917969,584.7744141,1688.801147,403.6862488,432.4083252,339.8808594,1787.206421
27-05-2020,652.8010864,606.170166,1742.950195,427.9576416,424.6387939,385.3908386,1805.550049
28-05-2020,664.8585815,607.8456421,1742.081421,447.658905,432.3612061,389.3244324,1816.258179
29-05-2020,661.3135986,601.8360596,1714.310913,450.6898804,446.6288147,383.3493652,1859.090576
01-06-2020,686.5803223,609.2827759,1777.67395,467.7390137,438.294281,395.2994995,1905.356079
02-06-2020,693.512207,616.7294312,1779.325073,474.0614014,445.5458069,408.3948059,1904.317261
03-06-2020,696.1992188,611.0247803,1783.683716,484.1251221,448.4181824,407.8470764,1916.154785
04-06-2020,713.4275513,616.4246826,1823.260132,474.3929138,466.0289917,392.7102661,1916.245239
05-06-2020,714.2854614,612.7666016,1785.51416,489.381958,465.4640198,403.6147461,1886.425049
08-06-2020,708.776062,627.8342896,1805.999878,481.1178894,460.5197449,428.4610291,1908.202759
09-06-2020,694.1669922,625.0036621,1806.261353,467.5732422,471.5854187,418.3034363,1903.503784
10-06-2020,709.9728394,623.4794922,1838.253784,469.7280884,470.0786438,425.6726685,1915.341675
11-06-2020,694.4154663,613.1150513,1802.425903,458.7171326,446.0637817,411.730896,1903.865479
12-06-2020,717.4918823,602.7505493,1777.886841,465.4184265,452.1381531,406.3035278,1904.181641
15-06-2020,729.1203003,598.8312378,1769.518188,449.8373718,457.5061035,387.9800415,1883.443237
16-06-2020,730.5428467,610.7199097,1783.37854,469.0413818,455.2458801,379.9634705,1876.259399
17-06-2020,729.4816284,612.8538208,1785.12207,463.7608948,457.3648987,387.9800415,1877.976196
18-06-2020,747.7937622,621.7811279,1776.666504,483.0359192,456.0463867,403.7143555,1866.319458
19-06-2020,794.5336914,614.508606,1782.332642,489.381958,459.6721802,415.3158875,1903.985229
22-06-2020,788.5500488,612.8972778,1767.818359,487.2034607,464.4752197,428.3614197,1911.309204
23-06-2020,777.1472778,627.6601563,1774.225464,493.620575,471.302887,441.8052979,1961.484619
24-06-2020,780.2858887,621.9989624,1780.240479,488.9794617,456.1876831,422.8842773,1938.148071
25-06-2020,775.7925415,610.1102295,1757.488281,487.2034607,459.2483521,419.9465942,1977.132935
26-06-2020,786.5178223,651.6552124,1847.058838,500.3218079,451.9968567,423.0834961,1959.892456
29-06-2020,778.1634521,637.3277588,1832.064453,509.6042175,453.9274597,403.1168213,1986.04895
30-06-2020,769.5606079,640.9859009,1815.06604,504.7735291,445.4045715,404.9591064,1983.365356
01-07-2020,784.6889648,637.4584351,1823.696167,513.6533203,440.8840637,431.4485779,1974.631348
02-07-2020,798.1977539,658.9712524,1880.445557,515.9266357,445.4515991,421.4403687,1957.663208
03-07-2020,810.6896973,664.2841797,1917.493286,508.6096497,449.0773926,426.6684875,1977.633545
06-07-2020,839.6640015,665.4163818,1972.892212,522.3674316,452.2323303,432.1954346,1966.624878
07-07-2020,826.8092041,691.6760254,1978.732544,523.3856201,451.337616,445.4899292,1959.846924
08-07-2020,815.2693481,674.7356567,1934.27417,525.8482666,454.3983459,442.3032227,1988.869751
09-07-2020,827.171936,680.8323975,1921.591064,532.7626343,453.8803711,451.8633118,1979.589478
10-07-2020,851.5665283,680.9630737,1937.281738,523.3618164,465.1343994,437.7721558,2023.2146
13-07-2020,877.3894653,694.2018433,1935.233521,511.5932007,470.5965271,438.2202454,2060.925781
14-07-2020,869.2277222,682.1824951,1893.346802,501.4584351,463.439209,415.9631958,2033.177368
15-07-2020,836.1271973,723.727356,1947.350708,498.7590332,466.2644958,424.8760071,2069.932373
16-07-2020,835.8552246,793.4481201,1952.462036,503.2107849,470.5965271,432.1954346,2081.487549
17-07-2020,866.8245239,786.6110229,1922.755981,520.2125854,474.2694092,431.2991943,2123.974365
20-07-2020,870.5426025,813.7415771,1929.002563,536.5986938,455.6226196,432.1954346,2120.699707
21-07-2020,893.9623413,815.8753662,1943.986694,539.2033691,449.4541016,444.344696,2108.917236
22-07-2020,908.6762695,799.4578247,1914.19397,533.4255981,446.6759033,476.9585266,2045.68689
